utterance,paraphrase,list_of_slots,error_category,,
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Is it cold in Grizzled Squirrel Wildlife Sanctuary?,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",wrong slot,,
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,How do the grizzled squirrels get around?,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",semantic,,
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Grizzled Squirrel Wildlife Sanctuary is windy and beautiful. Be warned if it is sunny and windy in February. Please keep warm.,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",answering,,
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Is it windy in Grizzled Squirrel Wildlife Sanctuary?,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",correct,,
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,Is it windy in Grizzled Squirrel Wildlife Sanctuary?,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']",correct,,
Will it be  windy   here  on  Dec. 16th ?,Will it be windy here Dec 11th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",correct,,
Will it be  windy   here  on  Dec. 16th ?,It will get windy today and windy tomorrow. Will it be dry?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']","answering, slot omission, questioning",,
Will it be  windy   here  on  Dec. 16th ?,Will it be windy again on Dec. 12th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,Will it be windy on December 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,Is it going to be windy on Dec. 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,"What are my chances of being windy in the next couple of days, and how is forecasting on Dec.16th?","['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']","incoherent, wordy, slot omission",,
Will it be  windy   here  on  Dec. 16th ?,Will it be windy by December or otherwise?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,Will it get windy again this Saturday and into the next few weeks?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,Will it be windy on Dec. 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
Will it be  windy   here  on  Dec. 16th ?,Will the weather be clear and windy in the evening on Dec. 16th?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']",slot omission,,
What is the weather forecast for  Danvers,How is the weather in Danvers?,['Danvers || city'],correct,,
What is the weather forecast for  Danvers,What is the weather forecast for Danvers (Denver)?,['Danvers || city'],homonym,,
What is the weather forecast for  Danvers,What is the weather in Danvers?,['Danvers || city'],correct,,
What is the weather forecast for  Danvers,What are the weather forecasts for Danvers?,['Danvers || city'],correct,,
What is the weather forecast for  Danvers,"What is the weather forecast for Danvers, Scotland?",['Danvers || city'],slot addition,,
What is the weather forecast for  Danvers,What are the weather forecasts for Danvers?,['Danvers || city'],correct,,
What is the weather forecast for  Danvers,What is the weather forecast for Danvers?,['Danvers || city'],duplication,,
What is the weather forecast for  Danvers,What is the weather forecast for Danvers?,['Danvers || city'],duplication,,
What is the weather forecast for  Danvers,What is the weather forecast for Danvers?,['Danvers || city'],duplication,,
What is the weather forecast for  Danvers,"What's the weather forecast for Danvers, Iceland?",['Danvers || city'],slot addition,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing July 7, 2038 in Vananda Alaska?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",correct,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Can it be freezing on Jul. 7, 2038 in Vananda Alaska?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",correct,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?",Will it be freezing Jan 1 in Vananda Alaska?,"['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",correct,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?",Is it freezing in Vananda Alaska?,"['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",slot omission,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing in vananda Alaska on Jul. 7, 2038?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",spelling,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing on Jul. 7, 2038 in Vananda Alaska?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",duplication,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing on Jul. 7, 2038 in Vananda Alaska?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",duplication,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","Will it be freezing on Jul. 7, 2038 in Vananda Alaska?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",duplication,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?",How likely is it to freeze overnight in Vananda Alaska?,"['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",correct,,
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","If it's freezing in Vananda, Alaska, will it be 25 degrees F today evening?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']",semantic,,
Is the weather  chilly  in  Pintura,Is the weather in Pintura chilly?,"['chilly || condition_temperature', 'Pintura || city']",correct,,
Is the weather  chilly  in  Pintura,Is the weather in Pintura chilly?,"['chilly || condition_temperature', 'Pintura || city']",correct,,
Is the weather  chilly  in  Pintura,Is the weather in Pintura chilly? Why?,"['chilly || condition_temperature', 'Pintura || city']",questioning,,
Is the weather  chilly  in  Pintura,Does it get cold in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",correct,,
Is the weather  chilly  in  Pintura,Is the weather chilly in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",duplication,,
Is the weather  chilly  in  Pintura,How is the weather in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",slot omission,,
Is the weather  chilly  in  Pintura,When is Pintura weather chilly?,"['chilly || condition_temperature', 'Pintura || city']",semantic,,
Is the weather  chilly  in  Pintura,How can the weather be chilly in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",semantic,,
Is the weather  chilly  in  Pintura,Is it cold in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",correct,,
Is the weather  chilly  in  Pintura,Why is the weather chilly in Pintura?,"['chilly || condition_temperature', 'Pintura || city']",semantic,,
What's the weather in  Nigeria ?,What's the weather in Nigeria?,['Nigeria || country'],duplication,,
What's the weather in  Nigeria ?,What's the weather in Nigeria?,['Nigeria || country'],duplication,,
What's the weather in  Nigeria ?,What is the weather in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What is the weather in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What is the weather in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,How is the weather in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What is weather like in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What's the weather like in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What is the weather like in Nigeria?,['Nigeria || country'],correct,,
What's the weather in  Nigeria ?,What is the weather like in Nigeria?,['Nigeria || country'],correct,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What is the overcast forecast within the same area of Rio Grande Nature Center State Park for fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",duplication,,
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,What will be the overcast forecast within the same area of Rio Grande Nature Center State Park at fifteen o'clock?,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,"What are the forecasts for the weather on October 26th, 2017 in Rosewood Heights and beyond.","['Oct. the 26th || timeRange', 'Rosewood Heights || city']",wordy,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,What will be the weather in Rosewood Heights on Oct 26th?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,What will be the weather in Rosewood Heights on Oct. 26th?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,How will the weather be for Oct 27th in Rosewood Heights?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,"What are the forecasts for Oct. 26th in Rosewood Heights, MI.","['Oct. the 26th || timeRange', 'Rosewood Heights || city']",slot addition,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,Can you tell me the weather for Oct. the 26th in Rosewood Heights..?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",punctuation,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,What is the weather forecast for OCT 26th in Rosewood Heights?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,How is the weather in Rosewood Heights for Oct. 26th?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,How is the weather in Rosewood Heights expected for the weekend (Sunday)?,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']",correct,,
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,"If it's hot and dry outside on the weekend, how will the weather be in Rosewood Heights on the 13th?","['Oct. the 26th || timeRange', 'Rosewood Heights || city']",wordy,,
What's the weather in  Ransom Canyon ?,What's the weather like at Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What's the weather like in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What is the weather like in Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What are the weather conditions at Ransom Canyon?,['Ransom Canyon || city'],correct,,
What's the weather in  Ransom Canyon ?,What's the weather in Ransom Canyon?,['Ransom Canyon || city'],duplication,,
what is the forecast for  Orienta  for  hotter  weather,"Is there any possibility of hotter weather this weekend in Orienta, Ecuador?","['Orienta || city', 'hotter || condition_temperature']",slot addition,,
what is the forecast for  Orienta  for  hotter  weather,Is there possible for Orienta to get warmer than normal this year?,"['Orienta || city', 'hotter || condition_temperature']",slot addition,,
what is the forecast for  Orienta  for  hotter  weather,"How hot is the forecast for Orienta, Texas?","['Orienta || city', 'hotter || condition_temperature']",slot addition,,
what is the forecast for  Orienta  for  hotter  weather,What does the forecast for Orienta mean for hotter weather?,"['Orienta || city', 'hotter || condition_temperature']",semantic,,
what is the forecast for  Orienta  for  hotter  weather,What is the forecast for Orienta for scorcher weather?,"['Orienta || city', 'hotter || condition_temperature']",correct,,
what is the forecast for  Orienta  for  hotter  weather,When will Orienta have more hot weather?,"['Orienta || city', 'hotter || condition_temperature']",semantic,,
what is the forecast for  Orienta  for  hotter  weather,What is the forecast in Orienta for hotter weather?,"['Orienta || city', 'hotter || condition_temperature']",correct,,
what is the forecast for  Orienta  for  hotter  weather,What is the forecast for Orienta for hotter weather?,"['Orienta || city', 'hotter || condition_temperature']",duplication,,
what is the forecast for  Orienta  for  hotter  weather,What is the forecast for Orienta for hotter weather?,"['Orienta || city', 'hotter || condition_temperature']",duplication,,
what is the forecast for  Orienta  for  hotter  weather,What is the forecast for Orienta for hotter weather?,"['Orienta || city', 'hotter || condition_temperature']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the sd forecast for the Belle Vernon on Oct. 6th, 2037 for hot weather?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",spelling,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for oct. 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",duplication,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What is the SD forecast for October 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",correct,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon",What will be the best SD forecast for October 6th 2037 for hot weather at Belle Vernon?,"['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",semantic,,
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","What's the SD forecast for October 6th, 2037 for hot weather at Belle Vernon?","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining near Greely Center?,"['rainy || condition_description', 'Greely Center || city']",slot addition,,
Is it  rainy  in  Greely Center ?,Can you report it raining in Greely Center (N.C)?,"['rainy || condition_description', 'Greely Center || city']",slot addition,,
Is it  rainy  in  Greely Center ?,Is it raining at Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining at Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center? Why or why not?,"['rainy || condition_description', 'Greely Center || city']",questioning,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Is it  rainy  in  Greely Center ?,Is it raining in Greely Center?,"['rainy || condition_description', 'Greely Center || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,"Book a reservation for seven people at a bakery in Osage City, India. I have not yet been able to see the photos for the entire month.","['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","slot addition, wordy",,
Book a reservation for  seven  people at a  bakery  in  Osage City,Can I book a reservation for 7 people at a bakery in Osage City?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City with a food service for 6 people for 7 people in a 4 days from Friday to Friday.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","grammar, redundant, incoherent, slot addition",,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",duplication,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. Osage City: What are the advantages of booking in Osage City?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","semantic, redundant, punctuation, questioning",,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. No charges.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","answering, wordy",,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City. The bakery is open from 11am-8pm on Saturday and runs till midnight.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","answering, wordy",,
Book a reservation for  seven  people at a  bakery  in  Osage City,"Book a reservation for seven people at a bakery in Osage City, Kerala. In a good amount of time.","['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",slot addition,,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. Which one is best?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']","semantic, questioning",,
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",correct,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for two at Maid-Rite Sandwich Shop in Antigua and Barbuda. Checks are now on sale inside.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","answering, wordy",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite sandwich shop in Antigua and Barbuda, Jamaica.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",slot addition,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at MaidRite Sandwich Shop in Antigua and Barbuda, Nicaragua.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",slot addition,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop, Antigua and Barbuda. They serve only 15 sandwiches. Call it good food!","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","answering, wordy",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda, Jamaica.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",slot addition,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for 3 at Maid-Rite Sandwich Shop in Antigua and Barbuda/Mexico?,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","spelling, slot addition, punctuation",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda, Guyana.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",slot addition,,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda. All sandwiches are offered.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","answering, wordy",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda (DJ)?,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']","incoherent, wordy, punctuation",,
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",duplication,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table to sit at the pizzeria for breakfast in MI. I have no idea what time oblivion is making it there.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","incoherent, wordy",,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria. They serve lunch and dinner.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",answering,,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria. This is your last opportunity?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","incoherent, wordy, punctuation",,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table to get breakfast in Detroit at pizzeria. I've been there a couple of times.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","grammar, wrong slot",,
I need a table for  breakfast  in  MI  at the  pizzeria,Are there any good tables for breakfast in MI at a pizzeria?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",correct,,
I need a table for  breakfast  in  MI  at the  pizzeria,What is the best place in MI to buy pizza and a table for breakfast?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",correct,,
I need a table for  breakfast  in  MI  at the  pizzeria,"I need a table for breakfast at an pizzeria in MI, and I should get a table nearby.","['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","grammar, redundant, slot addition",,
I need a table for  breakfast  in  MI  at the  pizzeria,I are in MI where I find a great pizzeria to get breakfast. I need a table.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","grammar, slot addition",,
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table to go to pizza restaurant in MI for breakfast. They have buffets all day.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","grammar, answering, wordy",,
I need a table for  breakfast  in  MI  at the  pizzeria,"In New York, I need to find a table at the pizzeria. I'm from Chicago and want to get a breakfast table. I also need a table at the pizzeria.","['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']","redundant, incoherent, wordy",,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Book a restaurant reservation for me and my child for 2pm in Faysville.,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",spelling,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,"Book restaurant reservations for me and my child for 2 pm in Faysville, KY. I am traveling with my mother with her.","['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']","redundant, slot addition, wordy",,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Reservation for 2 pm in Faysville?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",slot omission,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,"Book a restaurant reservation for me and my child for 2 Pm in Faysville, Alabama.","['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",slot addition,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Which restaurant would be good for 2 Pm with child in Faysville?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",spelling,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Can I take reservations for 2 Pm restaurant at Faysville?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",spelling,,
