utterance,list_of_slots
"What is the  cloud  condition  here  for  June fifteenth, 2026","['cloud || condition_description', 'here || current_location', 'June fifteenth, 2026 || timeRange']"
"What will the weather be in  Berville   AK  on  Feb. 6, 2017 ?","['Berville || city', 'AK || state', 'Feb. 6, 2017 || timeRange']"
Weather in  Cairngorms-Nationalpark   close from   freezing,"['Cairngorms-Nationalpark || geographic_poi', 'close from || spatial_relation', 'freezing || condition_temperature']"
Will it be  colder  in  Postelle  at  10:31 a.m. ?,"['colder || condition_temperature', 'Postelle || city', '10:31 a.m. || timeRange']"
How  hot  is it in  Hackamore,"['hot || condition_temperature', 'Hackamore || city']"
is it  freezing  in  Prompton,"['freezing || condition_temperature', 'Prompton || city']"
Weather at  Navajo National Monument  on  fri.,"['Navajo National Monument || geographic_poi', 'fri. || timeRange']"
Will it be  chillier  in  Uruguay   in 213 days ?,"['chillier || condition_temperature', 'Uruguay || country', 'in 213 days || timeRange']"
Will there be a  blizzard  in  Guadeloupe ?,"['blizzard || condition_description', 'Guadeloupe || country']"
is it going ot be  chillier  in  Maumee,"['chillier || condition_temperature', 'Maumee || city']"
I want to eat in  Rowan Bay  on a nice  cloud  less day,"['Rowan Bay || city', 'cloud || condition_description']"
"What will the weather be  here  on  January twenty-first, 2029 ?","['here || current_location', 'January twenty-first, 2029 || timeRange']"
What is the weather like in  Wyatte,['Wyatte || city']
What will the  humidity  be  here   this week ?,"['humidity || condition_description', 'here || current_location', 'this week || timeRange']"
Will it still be  warm   nineteen hours from now  in  PA,"['warm || condition_temperature', 'nineteen hours from now || timeRange', 'PA || state']"
is  Morley Nelson Snake River Birds of Prey National Conservation Area  going to be  cold   1 second from now,"['Morley Nelson Snake River Birds of Prey National Conservation Area || geographic_poi', 'cold || condition_temperature', '1 second from now || timeRange']"
What will the weather be  in 3 years   in  Eros   NC ?,"['in 3 years  || timeRange', 'Eros || city', 'NC || state']"
Will it be  snowy  at  04:43 a.m.  in  North Carolina,"['snowy || condition_description', '04:43 a.m. || timeRange', 'North Carolina || state']"
what is the forecast for  Gambier,['Gambier || city']
What kind of  temperate  will be in  Slade ?,"['temperate || condition_temperature', 'Slade || city']"
what is the forecast for  Sea Isle City  in  Louisiana  for  warmer  weather,"['Sea Isle City || city', 'Louisiana || state', 'warmer || condition_temperature']"
Tell me the weather forecast for  Island Mountain,['Island Mountain || city']
Will it be  cold   neighboring   Antlers  on  aug. 22 ?,"['cold || condition_temperature', 'neighboring || spatial_relation', 'Antlers || city', 'aug. 22 || timeRange']"
Will the weather be  foggy  in  Vatican   West Carson   in 1 hour and one minute ?,"['foggy || condition_description', 'Vatican || country', 'West Carson || city', 'in 1 hour and one minute || timeRange']"
What's the weather in  New Zealand ?,['New Zealand || country']
What will the weather be in  Montserrat ?,['Montserrat || country']
