utterance,list_of_slots
"book a table in  Montenegro  for  alissa, cornelia williams and katrina  at  osteria","['Montenegro || country', 'alissa, cornelia williams and katrina || party_size_description', 'osteria || restaurant_type']"
book a table for  midnight  for  6  in  Nesco,"['midnight || timeRange', '6 || party_size_number', 'Nesco || city']"
I want to book a  highly rated   fast food restaurant   now .,"['highly rated || sort', 'fast food restaurant || restaurant_type', 'now || timeRange']"
book spot at a  balinese   joint,"['balinese || cuisine', 'joint || restaurant_type']"
Book a table for  11/5/2037  in  Washington  for  seven  people,"['11/5/2037 || timeRange', 'Washington || state', 'seven || party_size_number']"
"Book a reservation for  dorothy, kayla and I  for the  best   osteria restaurant","['dorothy, kayla and I || party_size_description', 'best || sort', 'osteria restaurant || restaurant_type']"
I want to book  Mars 2112  in  Finland  for  four  people.,"['Mars 2112 || restaurant_name', 'Finland || country', 'four || party_size_number']"
book a party of  4  at  Louisiana Fried Chicken,"['4 || party_size_number', 'Louisiana Fried Chicken || restaurant_name']"
book spot for  eight   close  to  Marion Center,"['eight || party_size_number', 'close || spatial_relation', 'Marion Center || poi']"
Book a reservation for  6  people in  Delaware  at  10 a.m.,"['6 || party_size_number', 'Delaware || state', '10 a.m. || timeRange']"
I want to book  The Green Shack  in  GA  for  9  people.,"['The Green Shack || restaurant_name', 'GA || state', '9 || party_size_number']"
Book a place  now  for  2,"['now || timeRange', '2 || party_size_number']"
Book me a  restaurant  reservation for  seven a.m not far  from  their chalet,"['restaurant || restaurant_type', 'seven a.m || timeRange', 'not far || spatial_relation', 'their chalet || poi']"
Book a  restaurant  reservation in  ND,"['restaurant || restaurant_type', 'ND || state']"
I need a table for  nine  at a nice  restaurant  that is  popular,"['nine || party_size_number', 'restaurant || restaurant_type', 'popular || sort']"
I need to book a  restaurant  for  my baby and I   this summer  at a  brasserie,"['restaurant || restaurant_type', 'my baby and I || party_size_description', 'this summer || timeRange', 'brasserie || restaurant_type']"
book a table in  Micronesia  for  rajasthani  food at any  restaurant,"['Micronesia || country', 'rajasthani || cuisine', 'restaurant || restaurant_type']"
I want book a  french   fast food restaurant  for  2  people.,"['french || cuisine', 'fast food restaurant || restaurant_type', '2 || party_size_number']"
Book a reservation for a  blinis   bar  in  Palestine,"['blinis || served_dish', 'bar || restaurant_type', 'Palestine || country']"
Book a spot for  me and kathrine  at  Smithville,"['me and kathrine || party_size_description', 'Smithville || city']"
Book me a reservation for a  ligurian   bar  in  Belgium,"['ligurian || cuisine', 'bar || restaurant_type', 'Belgium || country']"
Book me a reservation for  The Brazen Head   close by  to  my university,"['The Brazen Head || restaurant_name', 'close by || spatial_relation', 'my university || poi']"
Book a reservation for an  indonesian   brasserie  on  9/13/2017,"['indonesian || cuisine', 'brasserie || restaurant_type', '9/13/2017 || timeRange']"
I want to book a  german   joint  for  12 seconds from now .,"['german || cuisine', 'joint || restaurant_type', '12 seconds from now || timeRange']"
I want to book a restaurant in  Massachusetts  for  six p.m .,"['Massachusetts || state', 'six p.m || timeRange']"
I would like to book a reservation for  kaitlin and I  at  Lone Star Cafe  ,"['kaitlin and I || party_size_description', 'Lone Star Cafe || restaurant_name']"
Book me a reservation for  8  at  fourteen  in  South Carolina,"['8 || party_size_number', 'fourteen || timeRange', 'South Carolina || state']"
I want to book an  osteria  that serves  arepa  for  6  people.,"['osteria || restaurant_type', 'arepa || served_dish', '6 || party_size_number']"
me and jocelyn  want to eat a  restaurant  in  Georgia,"['me and jocelyn || party_size_description', 'restaurant || restaurant_type', 'Georgia || country']"
I need a table for  seven  in  Honduras   within walking distance,"['seven || party_size_number', 'Honduras || country', 'within walking distance || spatial_relation']"
Book a reservation for  four  this  Afternoon  at a  highly rated   food court,"['four || party_size_number', 'Afternoon || timeRange', 'highly rated || sort', 'food court || restaurant_type']"
Book a reservation for  seven  people at  Fraser Mansion  in  IL,"['seven || party_size_number', 'Fraser Mansion || restaurant_name', 'IL || state']"
Book me a table around  11  at a  restaurant  which serves  macaroni and cheese  in  Tyronza .,"['11 || timeRange', 'restaurant || restaurant_type', 'macaroni and cheese || served_dish', 'Tyronza || city']"
book a table in  CA  for  2  people  in 3 hours,"['CA || state', '2 || party_size_number', 'in 3 hours || timeRange']"
Book me a reservation at a  goan   restaurant  for  5  people,"['goan || cuisine', 'restaurant || restaurant_type', '5 || party_size_number']"
I want to book a  bar  in  NM .,"['bar || restaurant_type', 'NM || state']"
I want to book  Meriton Grand Hotel Tallinn  in  New Jersey  for  four  people.,"['Meriton Grand Hotel Tallinn || restaurant_name', 'New Jersey || state', 'four || party_size_number']"
I want to book the  Hard Times Cafe  for  9  people.,"['Hard Times Cafe || restaurant_name', '9 || party_size_number']"
Book a reservation for  Savoy Hotel and Grill   not far  from  our secondary residence,"['Savoy Hotel and Grill || restaurant_name', 'not far || spatial_relation', 'our secondary residence || poi']"
I want to book a  restaurant  for  3  people in  Ohio .,"['restaurant || restaurant_type', '3 || party_size_number', 'Ohio || state']"
Book a  restaurant  with a  spa  in  Connecticut,"['restaurant || restaurant_type', 'spa || facility', 'Connecticut || state']"
I want to book  Laurelhurst Theater   within walking distance  of  their airbnb  for  me and luella carter   in seventeen seconds .,"['Laurelhurst Theater || restaurant_name', 'within walking distance || spatial_relation', 'their airbnb || poi', 'me and luella carter || party_size_description', 'in seventeen seconds || timeRange']"
I want to book a  food truck  in  Albania  for  ten  people.,"['food truck || restaurant_type', 'Albania || country', 'ten || party_size_number']"
I need a table in  West Virginia  for  me and my baby  at  Jacob Wirth Restaurant,"['West Virginia || state', 'me and my baby || party_size_description', 'Jacob Wirth Restaurant || restaurant_name']"
I want to book a  highly rated   tea house  in  Westmoreland City  for  9  people.,"['highly rated || sort', 'tea house || restaurant_type', 'Westmoreland City || city', '9 || party_size_number']"
I want to book a  delicatessen   42 weeks from now  with a  smoking room  in  Cuzzart   PA .,"['delicatessen || restaurant_type', '42 weeks from now || timeRange', 'smoking room || facility', 'Cuzzart || city', 'PA || state']"
Book spot in  Fults  in  Federated States Of Micronesia,"['Fults || city', 'Federated States Of Micronesia || state']"
"book a table at a  restaurant  for  me, roslyn and harriett  in  Lesterville","['restaurant || restaurant_type', 'me, roslyn and harriett || party_size_description', 'Lesterville || city']"
I want to book the  best   pub  for  one  person.,"['best || sort', 'pub || restaurant_type', 'one || party_size_number']"
book spot for  victoria mendoza and whitney mendoza  at a  pub  in  Callicoon   in fifteen hours,"['victoria mendoza and whitney mendoza || party_size_description', 'pub || restaurant_type', 'Callicoon || city', 'in fifteen hours || timeRange']"
"book spot for  darlene, lauren gray and sasha  in  Oregon  that serves  brasserie","['darlene, lauren gray and sasha || party_size_description', 'Oregon || state', 'brasserie || restaurant_type']"
Need book a table at a  steakhouse  that has  wifi  in the country of  Malawi,"['steakhouse || restaurant_type', 'wifi || facility', 'Malawi || country']"
I want to book a  pastelaria   cafe  in  Alabama  for  me and my great grandfather .,"['pastelaria || cuisine', 'cafe || restaurant_type', 'Alabama || state', 'me and my great grandfather || party_size_description']"
I need table  12 seconds from now  that serves  german  and has a  joint  atmosphere,"['12 seconds from now || timeRange', 'german || cuisine', 'joint || restaurant_type']"
I want to book a  restaurant  in  Monaco  on  May 22  for  8  people.,"['restaurant || restaurant_type', 'Monaco || country', 'May 22 || timeRange', '8 || party_size_number']"
Book me a reservation for  twenty two   faraway  from  our place,"['twenty two || timeRange', 'faraway || spatial_relation', 'our place || poi']"
table for  five  at  Space Aliens Grill & Bar  in  FM,"['five || party_size_number', 'Space Aliens Grill & Bar || restaurant_name', 'FM || state']"
Book me a  restaurant  reservation for  one  in  GU,"['restaurant || restaurant_type', 'one || party_size_number', 'GU || state']"
Please book me a table for  one  at  Bouchon  in  Australia .,"['one || party_size_number', 'Bouchon || restaurant_name', 'Australia || country']"
I want to book a  restaurant   far  from the  Municipal Borough of Mitcham  for  10  people.,"['restaurant || restaurant_type', 'far || spatial_relation', 'Municipal Borough of Mitcham || poi', '10 || party_size_number']"
I want to book an  oyster bar  for  one  in the  Navy Yard City .,"['oyster bar || restaurant_type', 'one || party_size_number', 'Navy Yard City || city']"
"is there a table available for  my daughters and I  at  The Octagon, Christchurch","['my daughters and I || party_size_description', 'The Octagon, Christchurch || restaurant_name']"
I want to book a  ethiopian   food court  in  Montenegro .,"['ethiopian || cuisine', 'food court || restaurant_type', 'Montenegro || country']"
want to eat at a  tea house  for  five,"['tea house || restaurant_type', 'five || party_size_number']"
I want to book a  restaurant   nearby   Carrickfergus  for  February 10th .,"['restaurant || restaurant_type', 'nearby || spatial_relation', 'Carrickfergus || poi', 'February 10th || timeRange']"
book a table in  Florida  at  Ariston Cafe  for  seven am,"['Florida || state', 'Ariston Cafe || restaurant_name', 'seven am || timeRange']"
"I want to book the  distant   Dinner by Heston Blumenthal  in  Turtle Lake  on  Nov. 25th, 2023  for  9  people.","['distant || spatial_relation', 'Dinner by Heston Blumenthal || restaurant_name', 'Turtle Lake || city', 'Nov. 25th, 2023 || timeRange', '9 || party_size_number']"
Book a reservation for the  best   restaurant   not far  from  VI,"['best || sort', 'restaurant || restaurant_type', 'not far || spatial_relation', 'VI || state']"
"Book a reservation for  one  at an  italian   taverna  for  two Pm  in  Hutchings ,  North Dakota","['one || party_size_number', 'italian || cuisine', 'taverna || restaurant_type', 'two Pm || timeRange', 'Hutchings || city', 'North Dakota || state']"
I want to book a  bar   neighboring   our apartment .,"['bar || restaurant_type', 'neighboring || spatial_relation', 'our apartment || poi']"
"book spot for  paulette parker, crystal and I   close-by   kris's campus  a at  Cherry Bowl Drive-In Theatre & Diner  at  08:41 pm","['paulette parker, crystal and I || party_size_description', 'close-by || spatial_relation', ""kris's campus || poi"", 'Cherry Bowl Drive-In Theatre & Diner || restaurant_name', '08:41 pm || timeRange']"
book a party of  4  for a  cafe   rated best,"['4 || party_size_number', 'cafe || restaurant_type', 'rated best || sort']"
"laura and I  want to eat somewhere in  Gibraltar  on  April eleventh, 2033","['laura and I || party_size_description', 'Gibraltar || country', 'April eleventh, 2033 || timeRange']"
Book sot for  four  at  Fowlkes,"['four || party_size_number', 'Fowlkes || city']"
"I want to book a  diner  that serves  home fries  that is  faraway  from  your step grandfather's office  for  me, janell and susie  on  March 7 .","['diner || restaurant_type', 'home fries || served_dish', 'faraway || spatial_relation', ""your step grandfather's office || poi"", 'me, janell and susie || party_size_description', 'March 7 || timeRange']"
Book a  restaurant  reservation  near   OR   next week,"['restaurant || restaurant_type', 'near || spatial_relation', 'OR || state', 'next week || timeRange']"
book a table in  Yachats  for  3  people,"['Yachats || city', '3 || party_size_number']"
I want to book an  oyster bar  wit  parking  in  Guam  for  eight  people.,"['oyster bar || restaurant_type', 'parking || facility', 'Guam || state', 'eight || party_size_number']"
Need a table for  6   close  to  Big Sandy,"['6 || party_size_number', 'close || spatial_relation', 'Big Sandy || city']"
Book a  restaurant  reservation for  my gf and I   within walking distance  of  sondra's university,"['restaurant || restaurant_type', 'my gf and I || party_size_description', 'within walking distance || spatial_relation', ""sondra's university || poi""]"
Book a reservation at  Sunset  in  Frye Island,"['Sunset || timeRange', 'Frye Island || city']"
Book a reservation for  4  for  Cherry Hut  at  Noon,"['4 || party_size_number', 'Cherry Hut || restaurant_name', 'Noon || timeRange']"
I want to book a  restaurant  on  april 7th  for  10  people.,"['restaurant || restaurant_type', 'april 7th || timeRange', '10 || party_size_number']"
book a  restaurant  that serves  rolled oyster  in  Merkel,"['restaurant || restaurant_type', 'rolled oyster || served_dish', 'Merkel || city']"
Book me a reservation for  midday  at  French Camp Academy,"['midday || timeRange', 'French Camp Academy || restaurant_name']"
I want to book a  restaurant   close  by  kristie's flat  for  1  person.,"['restaurant || restaurant_type', 'close || spatial_relation', ""kristie's flat || poi"", '1 || party_size_number']"
Book a reservation for a  pub   close  to  Point Pleasant Beach,"['pub || restaurant_type', 'close || spatial_relation', 'Point Pleasant Beach || poi']"
Please book me a table at a  food court   faraway  from  Saint Kitts and Nevis .,"['food court || restaurant_type', 'faraway || spatial_relation', 'Saint Kitts and Nevis || country']"
I want to book a  bar  for  9  people.,"['bar || restaurant_type', '9 || party_size_number']"
Book a reservation for  me and cassie  in  Saint Vincent and the Grenadines,"['me and cassie || party_size_description', 'Saint Vincent and the Grenadines || country']"
